"bg","bgArea","ParkArea","PropPark"
"390610049004",2028089.51805913,112886.462401034,0.0556614791387837
"390610049005",1282869.29440758,442775.223422222,0.34514445497481
"390610050001",356698.521121725,NA,0
"390610050002",296897.555632204,NA,0
"390610050003",269789.532547176,13779.831366878,0.051076226852754
"390610050004",298916.522348063,17853.6033768672,0.0597277234346994
"390610050005",417286.997654287,97470.2983229752,0.233580961953977
"390610051001",419982.375555515,49667.8966439132,0.118261859389259
"390610051002",818417.815253548,31243.2212366825,0.0381751480165461
"390610052001",435129.674976215,NA,0
"390610052002",357734.634693146,NA,0
"390610052003",397064.214491069,NA,0
"390610053011",493006.060321361,NA,0
"390610053012",412779.499400627,NA,0
"390610053013",357295.680513471,NA,0
"390610053021",600274.807070703,11560.3835780732,0.0192584853502132
"390610053022",355681.648640662,64.6262186600361,0.000181696803608011
"390610053023",1205577.97400679,616454.297440425,0.51133506976045
"390610054001",2048023.10249293,NA,0
"390610055001",458880.111001443,NA,0
"390610055002",514467.757924518,NA,0
"390610055003",1288364.9698979,164258.737967025,0.127493949156381
"390610055004",1038142.07403335,189250.76984915,0.182297562715939
"390610056001",447469.768245602,48823.3575114238,0.109109846018974
"390610056003",531044.321486615,69266.3988066686,0.130434308407184
"390610056004",590001.729433268,60276.4579904671,0.102163188654322
"390610056005",313151.301208258,NA,0
"390610057011",482456.635111913,168.743656281382,0.000349759219794416
"390610057012",266944.284270741,NA,0
"390610057013",840105.85502385,337439.775520161,0.401663401703802
"390610057021",1020045.31080627,53958.1076763188,0.0528977557219188
"390610057022",741882.719735079,35623.6441140845,0.0480178917320052
"390610057023",339455.985181332,12809.3461077027,0.0377349249000873
"390610057024",444037.021878906,NA,0
"390610058001",555550.885192998,21.2416933228378,3.82353694125759e-05
"390610058002",343906.326799273,60202.8360782514,0.175055913156811
"390610058003",1397093.80236092,802.964507877827,0.000574739152461284
"390610058004",515245.077541225,63271.9667848155,0.122799750143665
"390610058005",341208.497936927,NA,0
"390610059001",970083.646130864,NA,0
"390610060001",321594.352111991,NA,0
"390610060002",1216450.73289022,45368.3720428309,0.0372956921445048
"390610060003",483873.890301399,15782.6058524878,0.0326171884220846
"390610060004",300024.757537603,NA,0
"390610060005",1092563.75225325,NA,0
"390610061001",2868650.61882984,353152.335019293,0.123107475236336
"390610061002",425430.569758236,2539.58254929888,0.00596944067922076
"390610063001",402516.688837446,NA,0
"390610063003",219615.07532455,NA,0
"390610063004",377604.329030171,NA,0
"390610063005",306196.587519482,NA,0
"390610064001",852704.546946874,588061.816399368,0.689643110858192
