"GEOID","bus_count","propBuffQuarter","propBuffHalf"
"390610050005",4,0.458446283034838,0.978729192957265
"390610051001",2,0.404233189734467,0.572434496789745
"390610051002",21,0.70969766586454,0.973191024372346
"390610052001",0,0.0442377579853453,0.538355107435707
"390610052002",12,0.828156669299358,1.00000000003589
"390610052003",20,0.753082852976776,0.999999999985889
"390610053011",19,0.875003994594385,0.999999999991718
"390610053012",23,0.88331744006305,1.00000000007307
"390610053013",15,0.934708160751746,1.00000000001501
"390610053021",0,0.130752966041915,0.416440550298132
"390610053022",18,0.955633393173156,1.00000000003578
"390610053023",25,0.518438288179115,0.858381300405145
"390610054001",57,0.590592431638281,0.884397787584399
"390610055001",28,0.933202008593309,1.00000000009567
"390610055002",3,0.34750726670106,0.985695826881364
"390610055003",35,0.712420470297755,0.99932451953517
"390610055004",17,0.410780533727753,0.822781946399463
"390610056001",11,0.855682871671293,1.00000000001282
"390610056003",12,0.854660658145771,0.999999999964272
"390610056004",7,0.428620951601349,1.00000000002051
"390610056005",7,0.763114141622515,0.999999999989531
"390610057011",22,0.464030140990371,0.814195085501245
"390610057012",3,0.579625741856909,0.999999999998884
"390610057013",26,0.727825595800276,0.978217824292601
"390610057021",16,0.626310510992977,0.998951165842589
"390610057022",29,0.998569384558406,1.00000000000955
"390610057023",25,0.879661167254044,1.00000000004324
"390610057024",3,0.508752730978483,0.913027131614793
"390610058001",16,0.415995917912493,0.827548616206291
"390610058002",18,0.892451102648928,0.999999999988214
"390610058003",4,0.265143769729729,0.67863284832415
"390610058004",7,0.538809719159751,0.992659452561004
"390610058005",8,0.735905766336188,0.994066632975192
"390610059001",11,0.374679825727579,0.818502326556779
"390610060001",7,0.762159901506897,1.00000000001501
"390610060002",16,0.719749330578696,0.997720153049523
"390610060003",8,0.480947218751663,0.999999999981153
"390610060004",0,0,0.0646480984564635
"390610060005",3,0.0794241221710494,0.163420432934376
"390610061001",41,0.483852051850704,0.717113067982003
"390610061002",9,0.786197022186165,0.99999999998669
"390610063001",11,0.928091233601193,0.999999999968774
"390610063003",8,0.999999999985751,0.999999999985751
"390610063004",5,0.66672671319808,0.999999999982637
"390610063005",17,1.00000000001129,1.00000000001129
"390610064001",16,0.631705846220995,0.99980950107764
"390610064002",8,0.887929254534999,0.999999999988956
"390610064003",25,0.672893540413776,0.995477975122687
"390610064004",5,0.247342233458999,0.622858377641656
"390610065001",20,0.797517833177245,1.00000000001016
"390610065002",4,0.374879755209993,0.748031923192402
"390610065003",4,0.545773999434702,0.969968579069572
"390610065004",13,0.662200007907392,0.998270529337452
"390610065005",10,0.940989216903536,1.00000000003757
"390610065006",7,0.642237553776112,0.999999999980941
"390610066001",16,0.811685288734522,1.00000000000737
"390610066002",1,0.550126616368539,0.961929887903559
"390610068001",5,0.416750582144548,0.835230086090763
"390610068002",15,0.952138858646448,1.00000000000225
"390610068003",17,0.604761348870851,0.94868200674938
"390610069001",8,0.508528428521603,0.962155019852146
"390610069002",12,1,1
"390610069003",8,0.854683792115628,1.00000000003013
"390610070001",13,0.399555315266114,0.783371288023329
"390610070002",7,0.564599897762959,0.954502798596686
"390610070003",3,1.00000000005012,1.00000000005012
"390610071001",3,0.274638658676716,0.655897772154998
"390610071002",6,0.175453272662696,0.352671468670482
"390610071003",18,0.559192475081346,0.921626864201833
"390610072001",16,0.958733279558449,0.999999999949915
"390610072002",29,0.847047731363992,0.999999999972432
"390610073001",33,0.816460482828916,0.99999999999794
"390610073002",76,0.362952596418436,0.550333706519183
"390610074001",0,0.20394680236192,0.778649250587093
"390610074002",47,1.00000000003826,1.00000000003826
"390610074003",0,0.568745795509868,1.00000000004808
"390610075001",13,0.413179932263398,0.763589603638949
"390610075002",4,0.250000977196578,0.517233185698009
"390610077001",16,0.674921783010485,0.999999999996602
"390610077002",23,0.702819282998739,1.00000000000644
"390610078001",11,0.994760653541402,0.999999999942571
"390610078002",25,0.961098297741309,0.999999999899062
"390610078003",25,0.846335456106248,1.0000000000269
"390610079001",26,1.00000000007315,1.00000000007315
"390610079002",6,0.695722566747149,0.999999999953313
"390610080001",52,0.643123272889379,0.990148764251188
"390610080002",38,0.589525173436942,0.966682406372452
"390610081001",55,0.420570423871573,0.858289433379883
"390610081002",10,0.273889845133421,0.628910163373923
"390610082011",6,0.366583117220994,0.859216047218382
"390610082012",24,0.528793280256353,0.825697127665068
"390610082013",8,0.505511580483602,0.976947967463315
"390610082021",21,0.835238996452894,0.999999999982164
"390610082022",12,0.657936077222698,0.965821584694525
"390610082023",14,0.52350186096091,0.944115450133803
"390610083001",16,0.548850515951782,0.792865638157682
"390610083002",18,0.747694542922618,0.99999999999881
"390610083003",23,0.807664868691491,1.00000000001047
"390610084001",16,0.280850454021784,0.558785293624782
"390610085011",21,0.266871935357897,0.50152102683693
"390610085012",11,0.391590539928841,0.726242810944142
"390610085013",2,0.317965758948584,0.840366609430413
"390610085021",29,0.815283716025803,0.999999999995835
"390610086011",14,0.662425707632324,1.0000000000185
"390610086012",22,0.99999999996722,0.99999999996722
"390610086013",11,0.508700841717222,0.90721348445704
"390610086014",22,0.999999999994227,0.999999999994227
"390610088001",17,0.637633227235063,0.985695334974731
"390610088002",13,0.715813939275869,0.999951375508309
"390610092001",3,0.233854500096444,0.624804570471733
"390610092002",0,0.11958763716143,0.483423776436963
"390610092003",5,0.316416344623592,0.660615994132417
