"GEOID","Commercial","Downtown","Manufacturing","Office","OtherResidential","Planned Development","Recreation","Riverfront","SingleFamily","Urban Mixed"
"390610046023",0.00744687029114093,0,0,0,0.0147560719222052,0,0,0,0.513404524924234,0
"390610046031",0.0165342023205919,0,0,0,0.0373547592018014,0,0,0,0.942390703694866,0
"390610046032",0,0,0,0,0,0,0,0,0.65125160025066,0
"390610046041",0.0323523725097614,0,0,0,0.163889906339789,0.0695798317138031,0,0,0.730677241928474,0
"390610046043",0,0,0,0,0.0237895084418729,0.245680822286496,0,0,0.692010902148264,0
"390610046051",0.0295728202972567,0,0,0,0.223573143907739,0,0.397361396623586,0.0147505244152461,0.249718236073112,0
"390610046052",0.00284379016688633,0,0,0,0.020357835720096,0,0.134330434552289,0.0613737984019159,0.361117876575501,0
"390610047011",0.0179552848677111,0,0,0,0.0629224985412437,0.00389200046160447,0.303830140832484,0,0.611400075296957,0
"390610047012",0.00873364395041275,0,0,0,0.141412205933615,0.0215223335125069,0,0,0.828331816603465,0
"390610047021",0.0258073363554619,0,0.337901164780527,0.0136974811963795,0.0135811063601732,0,0.282208036642278,0.181791224572392,0.0200659233432974,0
"390610048001",0,0,0,0,2.31352813399219e-05,0,0.634855457180914,0,0.353791729659914,0
"390610048002",0.0196994826947511,0,0,0,0.0758047244732923,0,0,0,0.904495792831957,0
"390610048003",0,0,0,0,0,0,0.0089664070654832,0,0.991033592934517,0
"390610049001",0.046199869699872,0,0,0,0.0618738246608132,0,0,0,0.891926305639315,0
"390610049002",0.0527574985308803,0,0,3.53713173516642e-08,0.0720483138416486,0.0379371786017245,0,0,0.837256973654429,0
"390610049003",0.00345997090305262,0,0,0.00851533242312686,0.019295478675055,0,0,0,0.968729209776102,0
"390610049004",0.0167546988359502,0,0,0,0.113578774557266,0,0.0357969317973778,0,0.833869594809406,0
"390610049005",0.00166060109135638,0,0,0,0.0551975186269221,0,1.68878792075574e-05,0,0.943124992402514,0
"390610050001",0.023268916372966,0,0,0,0.0510058652169918,0.0502663089872508,0,0,0.875458903394174,0
"390610050002",0.175327167722846,0,0,0.0966539036648655,0.129338639780133,7.6481629159362e-05,0,0,0.598603800321943,0
"390610050003",0.141395373096201,0,0,0.0291113046383366,0,0,0,0,0.829483092953075,0
"390610050004",0,0,0,0,0.161617572136531,0,0.0956621024370109,0,0.737326009618818,0
"390610050005",0,0,0,0,0.209541472187361,0,0.000711188631930066,0,0.773194614741691,0
"390610051001",0.0452155238108276,0,0,0,0,0,0.0249384159380535,0,0.929846057975785,0
"390610051002",0.0607630534222349,0,0,0,0.0224939121121513,0.0120159876836103,0.00184695754607893,0,0.902880089235925,0
"390610052001",0.013151000171614,0,0.348471474506362,0,0.0860597805768207,0,0,0,0.550405862393058,0
"390610052002",0.128268069684471,0,0,0.0223558006408747,0.103968377734487,0,0,0,0.74540773618743,0
"390610052003",0.0939000932217245,0,0,0.0400544029877029,0.216054419968375,0,0,0,0.649425125495044,0
"390610053011",0.314506943746451,0,0.120495005559244,0.000293415957807622,0.0442427926209817,0.0404797775548083,0,0,0.479982064560708,0
"390610053012",0.176613236485059,0,0.171216696323044,0,0.548265922249152,0.0760897073815655,0,0,0.0278131981894363,0
"390610053013",0.209963292336361,0,0,0.0215031940066892,0.0883890434248289,0.0604195958727818,0,0,0.619724874359339,0
"390610053021",0,0,0.131307943342554,0,0.386023057893919,0,0.00549283493405017,0,0.475488824121117,0
"390610053022",0,0,0.606651379456661,0,0.391035453466314,0,0,0,0.0023131670770252,0
"390610053023",0.0111555515121705,0,0.00240818687557235,0,0.119502484855137,0.0185394321736723,0,0,0.848394344583448,0
"390610054001",0.366206030412388,0,0.374367795046656,0,0.0589384532240525,0.147049055837919,0,0,0.0405178517146337,0
"390610055001",0.0130428413859472,0,0.00710813488621351,0,0.211789854679841,0,0.00268047602078561,0,0.762838416285698,0
"390610055002",0.0168916339012821,0,0.440388569244456,0,0.539014777561032,0.000325737634726653,0,0,0.00337927348928312,0
"390610055003",0.182417027889346,0,0.220509096918259,0.0193356256373067,0.225757968433374,0.214613220596339,0,0,0.137367037275001,0
"390610055004",3.68809978238793e-07,0,0.144041313646927,0,0.145395828195231,0,0.0303678007011783,0,0.385768598033638,0
